Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Recommended_Crop,Chemical/Component,Threshold,Disease,Affected Crops
91,56,37,23.43191632,80.56887849,6.363472208,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
61,52,41,24.97669518,83.891805,6.880431223,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
67,45,38,22.72791041,82.1706881,7.300410836,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
79,42,37,24.87300744,82.84022551,6.587918708,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
78,43,42,21.32376327,83.00320459,7.283736617,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
75,54,36,26.29465461,84.56919326,7.023936392,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
97,36,45,22.2286982,81.85872947,6.939083505,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
67,47,44,26.73072391,81.78596776,7.868474653,"Sugarcane, Tobacco",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
73,35,38,24.88921174,81.97927117,5.005306977,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
77,36,37,26.88444878,81.46033732,6.136131869,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
81,41,38,22.67846116,83.72874389,7.524080076,"Sugarcane, Tobacco",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
68,57,43,26.08867875,80.37979919,5.706943251,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
72,45,35,25.42977518,82.94682591,5.758506323,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
61,53,43,26.40323239,81.05635517,6.349606327,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
67,43,39,26.04371967,84.96907151,5.999969026,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
67,58,39,25.2827223,80.54372813,5.453592032,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
66,60,38,22.08576562,83.47038318,6.372576327,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
82,43,38,23.28617173,81.43321641,5.105588355,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
84,50,44,25.48591986,81.40633547,5.935344406,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
81,53,42,23.67575393,81.03569343,5.17782304,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
91,50,40,20.82477109,84.1341879,6.462391607,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
93,53,38,26.92995077,81.91411159,7.069172227,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
90,44,38,23.83509503,83.88387074,7.473134377,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
81,45,35,26.52872817,80.12267476,6.158376967,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
78,40,38,26.46428311,83.85642678,7.549873681,"Sugarcane, Tobacco",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
60,51,36,22.69657794,82.81088865,6.028321558,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
88,46,42,22.68319059,83.46358271,6.604993475,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
93,47,37,21.53346343,82.14004101,6.500343222,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
60,55,45,21.40865769,83.3293191,5.935745417,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
78,35,44,26.54348085,84.67353597,7.072655622,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
65,37,40,23.35905428,83.59512273,5.333322606,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
71,54,16,22.61359953,63.69070564,5.749914421,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
61,44,17,26.10018422,71.57476937,6.931756558,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
80,43,16,23.55882094,71.59351368,6.657964753,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
73,58,21,19.97215954,57.68272924,6.596060648,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
61,38,20,18.47891261,62.69503871,5.970458434,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
68,41,16,21.77689322,57.80840636,6.158830619,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
93,41,17,25.6217169,66.50415474,6.047906679,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
89,60,19,25.19192419,66.6902901,5.913664501,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
76,44,17,20.41683147,62.5542482,5.855442401,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
67,60,25,24.92162194,66.78627406,5.750254943,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
70,44,19,23.31689124,73.4541537,5.852607099,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
90,49,21,24.84016732,68.3584573,6.472523287,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
62,52,16,22.27526694,58.84015925,6.967057762,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
92,44,16,18.87751445,65.76816093,6.082973754,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
66,54,21,25.19008683,60.2001687,5.919045532,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
63,58,22,18.25405352,55.28220433,6.204747653,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
70,47,17,24.6129118,70.4162444,6.600827017,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
61,41,17,25.1420613,65.26185135,6.021902237,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
66,53,19,23.09348056,60.1159381,6.033550195,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
74,55,19,18.05033737,62.89366992,6.28886807,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
77,57,21,24.9321581,73.80435276,6.550563823,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
99,50,15,18.14710054,71.09445342,5.573286437,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
74,56,22,18.28362235,66.65952796,6.829199275,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
83,45,21,18.83344471,58.75082029,5.716222912,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
100,48,16,25.71895816,67.22190688,5.54990242,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
79,51,16,25.33797709,68.49835977,6.586244581,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
94,39,18,23.89114571,57.48775781,5.893093135,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
75,49,15,21.53574127,71.50905983,5.918263801,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
78,48,22,23.08974909,63.10459626,5.588650585,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
87,54,20,25.61707368,63.4711755,6.576418207,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
87,35,25,21.44526922,63.1621551,6.178056304,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
63,43,19,18.51816776,55.53128131,6.641906353,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
84,57,25,22.53510514,67.99257471,6.489040367,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
64,35,23,23.02038334,61.89472002,5.680361038,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
60,46,22,24.89364635,65.61418761,6.625404348,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
98,44,21,25.77175115,74.089114,6.524478032,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
75,56,18,19.39851734,62.35750641,5.696205468,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
86,55,21,21.54156232,59.64024162,6.803931519,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
98,35,18,23.79746068,74.82913698,6.252797548,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
76,57,18,18.9802729,74.52600826,6.092725883,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
99,56,17,24.10859207,73.13112261,6.234330356,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
60,44,23,24.7947077,70.04556743,5.722579819,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
74,48,17,21.63162756,60.27766379,6.430616465,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
89,60,17,25.37548751,57.21025565,5.983952675,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
69,51,23,22.21738222,72.85462807,6.80163854,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
96,46,22,20.58314011,69.00128641,6.499936446,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
61,60,15,24.87502824,68.74248334,6.265564338,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
74,58,18,20.03728219,56.35606753,6.727303282,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
74,43,23,25.95263264,61.89082199,6.325235159,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
63,43,17,19.28889933,65.47050802,6.807487794,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
99,36,20,20.57981887,65.34583901,6.671085817,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
77,36,23,24.71417533,56.73426469,6.648725327,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
87,60,23,20.27317074,63.91281869,6.439071996,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
60,38,17,18.41932981,64.23580251,6.474476516,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
94,54,17,23.39128187,61.74427165,5.871647806,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
95,38,22,19.84939404,61.24500053,5.730617109,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
84,44,21,21.869274,61.91044947,5.850439831,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
77,58,19,22.8056033,56.50768935,5.791649933,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
66,44,20,19.0781471,69.02298571,6.740000688,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
63,35,16,22.02720976,65.35549924,6.272417541,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
79,45,20,23.80546189,59.24537979,5.715208817,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
72,60,25,18.52510753,69.0276233,5.773454729,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
67,51,24,23.50297882,61.32026065,5.584171461,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
86,36,24,26.54986394,72.89187265,5.787268394,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
76,48,18,19.29563411,69.63481219,5.77597783,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
75,53,18,20.68899915,59.4375337,6.864793607,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
81,45,23,19.32666088,68.034493,6.192360003,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
73,45,21,24.60532218,73.58868502,6.636803223,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
71,35,24,22.27373646,59.52193158,5.826426917,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
96,54,22,25.70196694,61.33450447,6.960358276,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
99,39,18,19.20129357,68.30578978,6.11275104,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
62,48,20,21.70181447,60.47470519,6.708446922,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
86,37,16,20.51716779,59.21235483,5.561510732,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
94,50,19,23.30355338,73.62548442,5.873242491,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
76,39,24,24.2547451,55.64709899,6.995843776,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
77,52,17,24.86374934,65.7420046,5.714799723,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
74,39,23,22.6265115,65.77472881,6.78073637,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
81,49,20,18.04185513,60.61494304,5.513697923,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
63,42,21,23.26237612,72.33125523,5.798423908,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
99,38,21,22.88330922,71.59722446,6.352471866,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
90,52,25,25.97482359,69.36385721,6.822586546,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
68,40,19,26.14384005,66.20569924,6.655426355,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
60,57,24,18.66116213,61.55327249,6.121294041,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
71,52,18,25.10787449,55.97732754,5.790770203,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
61,59,17,23.33844615,59.24580604,6.47444292,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
88,38,15,25.08239719,65.92195844,6.455116637,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
65,60,22,25.36768364,72.52054555,6.606984086,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
78,37,22,25.34217103,63.31801994,6.330554389,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
78,58,15,25.00933355,67.816568,6.528631266,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
92,60,23,18.66746724,71.516474,5.721667141,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
79,59,17,20.37999665,63.73849998,6.644205485,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
91,55,15,18.09300227,72.61024172,6.376651091,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
76,51,18,26.16985907,71.96246617,6.247040422,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
87,48,25,18.65396672,61.37879671,6.656730008,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
71,60,22,26.07470121,59.37147589,6.2048017,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
90,57,24,18.92851916,72.80086137,6.158860284,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
67,35,22,23.30546753,63.24648023,6.385684214,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
60,54,19,18.74826712,62.49878458,6.417820493,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
83,58,23,19.74213321,59.66263104,6.381201909,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
83,57,19,25.73044432,70.74739256,6.877869005,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
40,72,77,17.02498456,16.98861173,7.485996067,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
